a: 0x0,b: 0x0,c: 0x3326e3,d: -0x7555bd,t1: 0x0,t2: 0xa87ca0,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3305045.0,d: -7710086.0,t1: 0.0,t2: 11015131.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x326e55,d: -0x75a586,t1: 0x0,t2: 0xa813db,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3257674.0,d: -7730220.0,t1: 0.0,t2: 10987894.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x31b54a,d: -0x75f42c,t1: 0x0,t2: 0xa7a976,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3210181.0,d: -7750063.0,t1: 0.0,t2: 10960244.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x30fbc5,d: -0x7641af,t1: 0x0,t2: 0xa73d74,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3162567.0,d: -7769615.0,t1: 0.0,t2: 10932182.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x3041c7,d: -0x768e0f,t1: 0x0,t2: 0xa6cfd6,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3114834.0,d: -7788874.0,t1: 0.0,t2: 10903708.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x2f8752,d: -0x76d94a,t1: 0x0,t2: 0xa6609c,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3066984.0,d: -7807839.0,t1: 0.0,t2: 10874823.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x2ecc68,d: -0x77235f,t1: 0x0,t2: 0xa5efc7,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 3019018.0,d: -7826511.0,t1: 0.0,t2: 10845529.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x2e110a,d: -0x776c4f,t1: 0x0,t2: 0xa57d59,t3: 0x0, t4: 0x0, t5: 0x0
a: -402.0,b: -163.0,c: 2970939.0,d: -7844888.0,t1: -565.0,t2: 10815827.0,t3: 3153644976.0, t4: -484263057.0, t5: -6110942255.0
a: -0x192,b: -0xa3,c: 0x2d553b,d: -0x77b418,t1: -0x235,t2: 0xa50953,t3: 0xbbf8cdb0, t4: -0x1cdd4491, t5: -0x16c3d942f
a: 0.0,b: 0.0,c: 2922748.0,d: -7862970.0,t1: 0.0,t2: 10785718.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x2c98fc,d: -0x77faba,t1: 0x0,t2: 0xa493b6,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 2874446.0,d: -7880755.0,t1: 0.0,t2: 10755201.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x2bdc4e,d: -0x784033,t1: 0x0,t2: 0xa41c81,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 2826037.0,d: -7898244.0,t1: 0.0,t2: 10724281.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x2b1f35,d: -0x788484,t1: 0x0,t2: 0xa3a3b9,t3: 0x0, t4: 0x0, t5: 0x0
a: -433.0,b: -252.0,c: 2777521.0,d: -7915436.0,t1: -685.0,t2: 10692957.0,t3: 3427383788.0, t4: -699935292.0, t5: -7324675545.0
a: -0x1b1,b: -0xfc,c: 0x2a61b1,d: -0x78c7ac,t1: -0x2ad,t2: 0xa3295d,t3: 0xcc49b9ec, t4: -0x29b82a3c, t5: -0x1b495add9
a: 0.0,b: 0.0,c: 2728901.0,d: -7932329.0,t1: 0.0,t2: 10661230.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x29a3c5,d: -0x7909a9,t1: 0x0,t2: 0xa2ad6e,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 2680177.0,d: -7948924.0,t1: 0.0,t2: 10629101.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x28e571,d: -0x794a7c,t1: 0x0,t2: 0xa22fed,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 2631353.0,d: -7965220.0,t1: 0.0,t2: 10596573.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x2826b9,d: -0x798a24,t1: 0x0,t2: 0xa1b0dd,t3: 0x0, t4: 0x0, t5: 0x0
a: 0.0,b: 0.0,c: 2582430.0,d: -7981215.0,t1: 0.0,t2: 10563645.0,t3: 0.0, t4: 0.0, t5: 0.0
a: 0x0,b: 0x0,c: 0x27679e,d: -0x79c89f,t1: 0x0,t2: 0xa1303d,t3: 0x0, t4: 0x0, t5: 0x0
